title,price,brand,colortitle,sizes
Nike Pegasus Trail 4 GORE-TEX,"Rs. 14,700.00",NIKE,LT Smoke Grey/Black-Glacier Blue,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike Air Max 270,"Rs. 14,700.00",NIKE,Black/Anthracite-White,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
W Nike Dunk Low Twist,"Rs. 9,700.00",NIKE,LT Lemon Twist/LT Lemon Twist-White,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike Dunk High,"Rs. 11,500.00",NIKE,WHITE/BLACK-UNIVERSITY RED,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Dunk Low,"Rs. 11,000.00",NIKE,White/Black-White,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Air Max 270,"Rs. 14,700.00",NIKE,Black/Anthracite-White,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloudmonster Exclusive,"Rs. 15,600.00",ON,All White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Cloudnova,"Rs. 14,700.00",ON,Phantom / White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Mountain Boot,"Rs. 29,900.00",FILLING PIECES,Quartz Camel,"36,37,38,39"
aSMC ULTRABOOST SPEED,"Rs. 25,600.00",ADIDAS BY STELLA MCCARTNEY,ftwr white/core black/signal orange,"6,6.5,7,7.5,8,8.5,9,9.5"
Low Top,"Rs. 22,400.00",FILLING PIECES,Bianco Azure,"35,36,37,38,39,40"
Cloudnova,"Rs. 14,700.00",ON,Phantom / White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Air Force 1 Shadow,"Rs. 11,900.00",NIKE,WHITE/WHITE-WHITE,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Cloudultra 2,"Rs. 16,500.00",ON,Black | White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Air Max 270,"Rs. 14,700.00",NIKE,Black/Anthracite-White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Air Zoom Alphafly Next Flyknit 2,"Rs. 25,100.00",NIKE,HYPER PINK BLACK LASER ORANGE WHITE,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike React Pegasus Trail 4 Gore-Tex,"Rs. 14,700.00",NIKE,SANDDRIFT/MINERAL TEAL-COCONUT MILK,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
W NIKE AIR HUARACHE,"Rs. 10,500.00",NIKE,LILAC/BLACK-BARELY GRAPE-WHITE,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
W NIKE ZOOMX VAPORFLY NEXT% 2,"Rs. 17,900.00",NIKE,University Blue/Lt Orewood Brn,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
aSMC COURT SLIP ON REG COTTON,"Rs. 14,000.00",ADIDAS BY STELLA MCCARTNEY,GINGER/deep lilac/legend ink,"6,6.5,7,7.5,8,8.5,9,9.5"
WOMENS SPECTER X 2.0,"Rs. 18,700.00",BRANDBLACK,WHITE GREY OLIVE,"6,6.5,7,7.5,8,8.5,9,9.5,10"
MOUNT ALLI ,"Rs. 28,000.00",ALOHAS,BLACK,"36,37,38,39,40,41"
Aura 130,"Rs. 18,900.00",BRANDBLACK,Lime,"6,6.5,7,7.5,8,8.5,9,9.5,10"
FLORAL BOOT,"Rs. 37,700.00",ALEPEL,Floral BLACK,"6,7,8,9,10"
BARREL,"Rs. 18,300.00",ALOHAS,LIPSTICK RED MAGENTA,"36,37,38,39,40"
HARPER,"Rs. 17,100.00",ALOHAS,SHIMMER/ BRIGHT WHITE,"35,36,37,38,39,40,41,42"
CLOSED TOE MULE,"Rs. 23,000.00",ALEPEL,,"5,6,7,8,9,10"
TWO STRAP SLIDE,"Rs. 20,600.00",ALEPEL,,"5,6,7,8,9,10"
WOMENS SAGA 130,"Rs. 19,300.00",BRANDBLACK,WHITE BLUE LIME LAVENDER,"6,6.5,7,7.5,8,8.5,9,9.5,10"
WOMENS SANTA MONICA,"Rs. 19,500.00",BRANDBLACK,TAN GREY AQUA TNGA,"6,6.5,7,7.5,8,8.5,9,9.5,10"
The Roger Centre Court,"Rs. 14,800.00",ON,WHITE | WOODROSE,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
aSMC Ultraboost 23 lower footprint,"Rs. 19,500.00",ADIDAS BY STELLA MCCARTNEY,gobi/semi flash green/purple glow,"6,6.5,7,7.5,8,8.5,9,9.5"
