title,price,brand,colortitle,sizes,imageurl
High Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB19051-Blue-23SM-HIGH-RISE-7-8-LEGGING-IN-TAKARA-SHINE-color-navy-blazer_311.jpg?v=1717442749&width=400
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/products/CARB-CRB20172-BLUE-23SS-Action-Bra-2-0-in-Takara-Shine-color-NAVY-BLAZER_0301.jpg?v=1680910417&width=400
High Rise Full-Length Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/products/CARB-CRB464-BLUE-23SS-HIGH-RISE-FULL-LENGTH-LEGGING-IN-TAKARA-SHINE-color-NAVY-BLAZER_0334.jpg?v=1680910051&width=400
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD615-GREY-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-Heather-Grey_63536-Edit.jpg?v=1712350695&width=400
High Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-CRB19051-GREY-22HOL-High-Rise-78-Legging-in-Takara-Shine-color-Steel-Grey_11104_bd40ca48-d1df-45a1-aa17-a961a3eacff1.jpg?v=1702420934&width=400
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-CRB20172-GREY-22HOL-Action-Bra-20-in-Takara-Shine-color-Steel-Grey_11078.jpg?v=1702420550&width=400
High Rise Full-Length Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-CRB464-GREY-22HOL-High-Rise-Full-Length-Legging-in-Takara-Shine-color-Steel-Grey_11181_ca1e0794-7976-48c7-884f-0a907f83b037.jpg?v=1702405867&width=400
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD640-WHT-22SM-WIDE-SCOOP-BRA-TANK-color-White_0449.jpg?v=1680737603&width=400
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD615-WHIWHI-Off-Shoulder-Sweatshirt-in-french-terry-color-WHITE_3182-Edit.jpg?v=1719945828&width=400
Ribbed Tank,"Rs. 6,900.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-W235-WHIWHI-ribbed-tank-1-Color-WHITE_15270.jpg?v=1700613811&width=400
Ribbed 7/8 Legging,"Rs. 8,400.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-W378-WHIWHI-ribbed-regular-rise-7-8-legging-1-Color-WHITE_15306.jpg?v=1700614528&width=400
V-Neck Jumpsuit in Melt,"Rs. 13,600.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD411-V-Neck-Jumpsuit-in-melt-color-Black_21194.jpg?v=1701380370&width=400
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD615-BLK-22HOL-Off-Shoulder-Sweatshirt-in-french-terry-color-BLACK_2295-Edit.jpg?v=1729644899&width=400
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD640-BLK-22HOL-Wide-scoop-Bra-Tank-in-melt-color-BLACK_21217.jpg?v=1719513691&width=400
Split Bootcut Legging in Melt,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD163-Split-Bootcut-Legging-in-melt-Color-Black_091812.jpg?v=1718231589&width=400
Ribbed Tank,"Rs. 6,900.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-W235-BLKBLK-BLACK-RIBBED-TANK-COLOR-BLACK_15621.jpg?v=1700613694&width=400
Ribbed 7/8 Legging,"Rs. 8,400.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-W378-BLKBLK-RIBBED-7-8-LEGGING-COLOR-BLACK_15548.jpg?v=1700614314&width=400
T Back Bra In Diamond Compression,"Rs. 8,100.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB20406-BLKBLK-T-Back-Bra-in-Diamond-Compression-color-Black_14958.jpg?v=1700076729&width=400
High Rise Full-Length Legging in Diamond Compression,"Rs. 9,900.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB21353-BLKBLK-High-Rise-Full-Length-Legging-in-Diamond-Compression-color-Black_15005.jpg?v=1700078422&width=400
Wrap Bra in Heather Melt,"Rs. 8,100.00",CARBON38,Heather Oatmeal,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD271H-NUDE-23SM-WRAP-BRA-color-HEATHER-OATmeal_0114.jpg?v=1679003078&width=400
