title,price,brand,colortitle,sizes
Raglan Zip Pullover,"Rs. 13,100.00",CARBON38,Island Fossil,"XS,S,M,L,XL"
Cable Knit Cardigan,"Rs. 12,300.00",CARBON38,Mushroom,"XS,S,M,L,XL"
Foil Legging in Melt,"Rs. 14,500.00",CARBON38,Oatmeal Heather with Rose Gold Foil,"XS,S,M,L,XL"
Stretch Twill Stirrup Legging,"Rs. 11,500.00",CARBON38,Khaki,"XS,S,M,L,XL"
Foil Legging in Melt,"Rs. 14,500.00",CARBON38,Oatmeal Heather with Rose Gold Foil,"XS,S,M,L,XL"
RHINESTONE OVERSIZED BUTTON UP SHIRT,"Rs. 11,500.00",CARBON38,White w/ Silver Rhinestones,"XS,S,M,L"
Ribbed Bra,"Rs. 6,100.00",CARBON38,Dark Oak,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 7,600.00",CARBON38,Haute Red,"XS,S,M,L,XL"
STRIPED CROPPED SWEATER VEST,"Rs. 10,700.00",CARBON38,IVORY W/ NAVY,"XS,S,M,L,XL"
Wide Leg Pintuck Sweatpant in French Terry,"Rs. 13,100.00",CARBON38,Ivy Green,"XS,S,M,L,XL"
Ribbed Biker Short,"Rs. 6,100.00",CARBON38,White,"XXS,XS,S,M,L,XL,XXL"
Colorblock Run Top in Melt,"Rs. 7,600.00",CARBON38,FUCHSIA PURPLE CAYENNE,"XS,S,M,L,XL"
Tuxedo Pant,"Rs. 13,100.00",CARBON38,Heather Grey,"XS,S,M,L,XL"
T Back Bra in Diamond Compression,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL"
RHINESTONE OVERSIZED BUTTON UP SHIRT,"Rs. 11,500.00",CARBON38,White w/ Silver Rhinestones,"XS,S,M,L"
Wrap Legging in Heather Melt,"Rs. 9,900.00",CARBON38,Heather Oatmeal,"XS,S,M,L,XL"
Diamond Quilted Puffer Vest,"Rs. 15,400.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise Full-Length Legging in Takara Shine,"Rs. 10,000.00",CARBON38,Antique Bronze,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 7,600.00",CARBON38,Haute Red,"XS,S,M,L,XL"
Biker Short in Melt,"Rs. 6,100.00",CARBON38,Caramel Cafe,"XS,S,M,L,XL"
Action Bra 2.0 in Leopard Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
One Shoulder Convertible Bra Top in Melt,"Rs. 7,600.00",CARBON38,Haute Red,"XS,S,M,L,XL"
Ribbed Shortie,"Rs. 5,300.00",CARBON38,White,"XS,S,M,L,XL"
V-Neck Longline Bra in Melt,"Rs. 6,900.00",CARBON38,Clearly Aqua,"XS,S,M,L,XL"
High Rise Legging with Fleece Back,"Rs. 10,700.00",CARBON38,Navy / Blue Atoll,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 7,600.00",CARBON38,Haute Red,"XS,S,M,L,XL"
High Rise 7/8 Legging in Takara Shine,"Rs. 10,000.00",CARBON38,Spice Route,"XS,S,M,L,XL"
EMBROIDERED FRENCH TERRY CREW SWEATSHIRT,"Rs. 7,600.00",CARBON38, NAVY/ LOBSTER,"XS,S,M,L,XL"
Fleece Back Half Zip Top,"Rs. 11,500.00",CARBON38,Navy / Blue Atoll,"XS,S,M,L,XL"
SATIN SLIP DRESS,"Rs. 13,100.00",CARBON38,NAVY,"XS,S,M,L,XL"
High Waisted Scuba Pant,"Rs. 15,400.00",CARBON38,Navy Blazer,"XS,S,M,L,XL"
Mesh Off Shoulder Top,"Rs. 10,700.00",CARBON38,Black,"XS,S,M,L,XL"
Rhinestone Front Slit Sweatpant,"Rs. 12,300.00",CARBON38,Black,"XS,S,M,L,XL"
Pleated Tennis Skirt,"Rs. 10,000.00",CARBON38,Ivory,"XS,S,M,L,XL"
BRETON STRIPE FRENCH TERRY 1/2 ZIP,"Rs. 10,000.00",CARBON38, NAVY/ CAYENNE,"XS,S,M,L,XL"
Run Top in Melt,"Rs. 8,400.00",CARBON38,FUCHSIA PURPLE CAYENNE,"XS,S,M,L,XL"
Collared Belted Dress,"Rs. 12,300.00",CARBON38,Ivory,"XS,S,M,L,XL"
V-Neck Longline Bra in Melt,"Rs. 6,900.00",CARBON38,Clearly Aqua,"XS,S,M,L,XL"
SAILOR BRALETTE,"Rs. 9,200.00",CARBON38,NAVY,"XS,S,M,L,XL"
Cut Out Scoop Bra in Diamond Compression,"Rs. 6,900.00",CARBON38,Olive,"XS,S,M,L,XL"
FRENCH TERRY HALF ZIP,"Rs. 10,000.00",CARBON38, HAWAIIAN SURF,"XS,S,M,L,XL"
Foil Half Zip Top in Melt,"Rs. 12,300.00",CARBON38,Dark Heather Grey with Gunmetal Foil,"XS,S,M,L,XL"
Long RacerBack Tank,"Rs. 6,300.00",CARBON38,White,"XS,S,M,L,XL"
